source,target,value
Cit-Unk,Exp-Unk,517
Cit-Unk,Exp-SA,59
Cit-Unk,Exp-AS,96
Cit-Unk,Exp-NA,24306
Cit-AS,Exp-Unk,18373
Cit-AS,Exp-AS,13126
Cit-AS,Exp-NA,319
Cit-AS,Exp-AF,56
Cit-EU,Exp-Unk,2379
Cit-EU,Exp-AS,4974
Cit-EU,Exp-EU,19162
Cit-AF,Exp-Unk,22
Cit-AF,Exp-AS,216
Cit-AF,Exp-AF,1617
Cit-SA,Exp-Unk,111
Cit-SA,Exp-SA,31
Cit-NA,Exp-NA,9580
Exp-AF,Female,888
Exp-AF,Male,1676
Exp-AS,Gndr-Unk,28
Exp-AS,Female,12724
Exp-AS,Male,10460
Exp-AS,Gndr-Unk,116
Exp-EU,Female,17950
Exp-EU,Male,7764
Exp-NA,Gndr-Unk,48
Exp-NA,Female,31234
Exp-NA,Male,2634
Exp-NA,Gndr-Unk,892
Exp-SA,Gndr-Unk,118
Exp-SA,Female,62
Exp-Unk,Gndr-Unk,26
Exp-Unk,Female,17844
Exp-Unk,Male,6354
Exp-Unk,Gndr-Unk,50
Gen-Unk,Sex-Unk,692
Gen-Unk,Sex-No,106
Gen-Unk,Sex-Yes,480
Gen-Female,Sex-Unk,36866
Gen-Female,Sex-No,7558
Gen-Female,Sex-Yes,36278
Gen-Male,Sex-Unk,16804
Gen-Male,Sex-No,10580
Gen-Male,Sex-Yes,1504
